nama,gambar
Aegiochusmon: Blue,https://wikimon.net/images/thumb/b/bb/Aegiochusmon_blue2.jpg/120px-Aegiochusmon_blue2.jpg
Aegiochusmon: Dark,https://wikimon.net/images/thumb/7/7a/Aegiochusmon_dark.jpg/120px-Aegiochusmon_dark.jpg
Aegiochusmon: Green,https://wikimon.net/images/thumb/d/d4/Aegiochusmon_green.jpg/120px-Aegiochusmon_green.jpg
Aegiochusmon: Holy,https://wikimon.net/images/thumb/0/0b/Aegiochusmon_holly.jpg/120px-Aegiochusmon_holly.jpg
Aegiomon,https://wikimon.net/images/thumb/9/98/Aegiomon2.jpg/120px-Aegiomon2.jpg
Aegisdramon,https://wikimon.net/images/thumb/8/83/Ageisdramon.jpg/120px-Ageisdramon.jpg
Aero V-dramon,https://wikimon.net/images/thumb/5/54/Aerovdramon.jpg/120px-Aerovdramon.jpg
Agnimon,https://wikimon.net/images/thumb/d/dc/Agnimon3.jpg/120px-Agnimon3.jpg
Agumon,https://wikimon.net/images/thumb/7/72/Agumon.jpg/120px-Agumon.jpg
Agumon X-Antibody,https://wikimon.net/images/thumb/3/30/Agumonx2.jpg/120px-Agumonx2.jpg
Agumon (2006 Anime Version),https://wikimon.net/images/thumb/8/80/Agumon2.jpg/120px-Agumon2.jpg
Agumon (Black),https://wikimon.net/images/thumb/9/91/Agumon_black.jpg/120px-Agumon_black.jpg
Agumon (Black) (2006 Anime Version),https://wikimon.net/images/thumb/9/97/Agumon_black_2006.jpg/120px-Agumon_black_2006.jpg
Agumon Burst Mode,https://wikimon.net/images/thumb/2/2a/Agumon_burst.jpg/120px-Agumon_burst.jpg
Agumon Hakase,https://wikimon.net/images/thumb/1/1a/Agumon_hakase.jpg/120px-Agumon_hakase.jpg
Aircraft Carrier Whamon,https://wikimon.net/images/thumb/4/47/Aircraft_carrier_whamon.png/120px-Aircraft_carrier_whamon.png
Airdramon,https://wikimon.net/images/thumb/6/63/Airdramon.jpg/120px-Airdramon.jpg
Akatorimon,https://wikimon.net/images/thumb/d/df/Akatorimon.jpg/120px-Akatorimon.jpg
Aldamon,https://wikimon.net/images/thumb/3/3b/Aldamon.jpg/120px-Aldamon.jpg
