no,nama,image,stage,tipe,attr,memory,equipSlot,HP,SP,ATK,DEF,INT,SPD
1,Kuramon,http://digidb.io/images/dot/dot629.png,Baby,Free,Neutral,2,0,590,77,79,69,68,95
2,Pabumon,http://digidb.io/images/dot/dot387.png,Baby,Free,Neutral,2,0,950,62,76,76,69,68
3,Punimon,http://digidb.io/images/dot/dot437.png,Baby,Free,Neutral,2,0,870,50,97,87,50,75
4,Botamon,http://digidb.io/images/dot/dot317.png,Baby,Free,Neutral,2,0,690,68,77,95,76,61
5,Poyomon,http://digidb.io/images/dot/dot320.png,Baby,Free,Neutral,2,0,540,98,54,59,95,86
6,Arcadiamon In-Tr.,http://digidb.io/images/dot/dot062.png,In-Training,Free,Dark,3,0,720,85,86,59,81,93
7,Koromon,http://digidb.io/images/dot/dot322.png,In-Training,Free,Fire,3,0,940,52,109,93,52,76
8,Tanemon,http://digidb.io/images/dot/dot512.png,In-Training,Free,Plant,3,0,1030,64,85,82,73,69
9,Tsunomon,http://digidb.io/images/dot/dot438.png,In-Training,Free,Earth,3,0,930,54,107,92,54,76
10,Tsumemon,http://digidb.io/images/dot/dot631.png,In-Training,Free,Dark,3,0,930,64,108,64,54,93
11,Tokomon,http://digidb.io/images/dot/dot325.png,In-Training,Free,Neutral,3,0,640,86,76,74,74,103
12,Nyaromon,http://digidb.io/images/dot/dot515.png,In-Training,Free,Light,3,0,540,107,54,64,103,94
13,Pagumon,http://digidb.io/images/dot/dot567.png,In-Training,Free,Dark,3,0,550,103,60,63,102,93
14,Yokomon,http://digidb.io/images/dot/dot510.png,In-Training,Free,Plant,3,0,1040,64,82,82,75,69
15,Bukamon,http://digidb.io/images/dot/dot514.png,In-Training,Free,Water,3,0,830,93,54,74,103,69
16,Motimon,http://digidb.io/images/dot/dot388.png,In-Training,Free,Neutral,3,0,1030,63,82,81,78,69
17,Wanyamon,http://digidb.io/images/dot/dot321.png,In-Training,Free,Wind,3,0,830,82,79,75,75,82
18,Agumon,http://digidb.io/images/dot/dot050.png,Rookie,Vaccine,Fire,5,1,1030,59,131,103,54,86
19,Agumon (Blk),http://digidb.io/images/dot/dot143.png,Rookie,Virus,Fire,5,1,1020,56,124,108,56,85
20,Arcadiamon Rookie,http://digidb.io/images/dot/dot063.png,Rookie,Virus,Dark,5,1,950,86,105,79,85,86
21,Armadillomon,http://digidb.io/images/dot/dot707.png,Rookie,Free,Earth,4,1,1160,85,67,111,65,72
22,Impmon,http://digidb.io/images/dot/dot081.png,Rookie,Virus,Dark,5,1,530,114,83,65,114,102
23,Elecmon,http://digidb.io/images/dot/dot564.png,Rookie,Data,Electric,4,1,930,93,82,79,79,90
24,Otamamon,http://digidb.io/images/dot/dot582.png,Rookie,Virus,Water,4,1,930,105,52,75,113,78
25,Gaomon,http://digidb.io/images/dot/dot055.png,Rookie,Data,Neutral,5,1,1030,69,118,74,66,101
26,Gazimon,http://digidb.io/images/dot/dot569.png,Rookie,Virus,Dark,4,1,970,71,123,64,59,102
27,Gabumon,http://digidb.io/images/dot/dot151.png,Rookie,Data,Fire,5,1,980,88,94,81,79,91
28,Gabumon (Blk),http://digidb.io/images/dot/dot713.png,Rookie,Virus,Fire,5,1,950,83,99,89,74,91
29,Guilmon,http://digidb.io/images/dot/dot090.png,Rookie,Virus,Fire,5,1,1050,69,133,74,54,101
30,Kudamon,http://digidb.io/images/dot/dot053.png,Rookie,Vaccine,Light,5,1,590,128,53,74,117,105
31,Keramon,http://digidb.io/images/dot/dot626.png,Rookie,Free,Dark,5,1,1030,74,123,69,61,101
32,Gotsumon,http://digidb.io/images/dot/dot595.png,Rookie,Data,Earth,5,1,790,79,93,118,90,72
33,Goblimon,http://digidb.io/images/dot/dot111.png,Rookie,Virus,Earth,4,1,1050,51,115,110,51,84
34,Gomamon,http://digidb.io/images/dot/dot343.png,Rookie,Vaccine,Water,5,1,1160,69,93,93,81,79
35,Syakomon,http://digidb.io/images/dot/dot709.png,Rookie,Virus,Water,4,1,870,100,53,86,112,78
36,Zubamon,http://digidb.io/images/dot/dot697.png,Rookie,Vaccine,Neutral,5,1,1010,57,126,111,54,87
37,Solarmon,http://digidb.io/images/dot/dot728.png,Rookie,Vaccine,Light,4,1,1030,88,69,108,71,77
38,Chuumon,http://digidb.io/images/dot/dot020.png,Rookie,Virus,Earth,4,1,700,91,87,73,85,111
39,Terriermon,http://digidb.io/images/dot/dot701.png,Rookie,Vaccine,Wind,4,1,690,93,84,75,84,112
40,Tentomon,http://digidb.io/images/dot/dot303.png,Rookie,Vaccine,Plant,4,1,750,79,86,110,93,73
41,ToyAgumon,http://digidb.io/images/dot/dot708.png,Rookie,Vaccine,Neutral,4,1,1110,87,72,112,63,71
42,Dracmon,http://digidb.io/images/dot/dot457.png,Rookie,Virus,Dark,5,1,870,81,108,88,83,84
43,Dracomon,http://digidb.io/images/dot/dot208.png,Rookie,Data,Fire,5,1,980,69,132,89,49,99
44,Dorumon,http://digidb.io/images/dot/dot112.png,Rookie,Data,Neutral,5,1,1020,65,128,79,56,101
45,Hagurumon,http://digidb.io/images/dot/dot009.png,Rookie,Virus,Electric,4,1,1090,91,66,110,69,71
46,Patamon,http://digidb.io/images/dot/dot096.png,Rookie,Data,Wind,4,1,880,93,79,74,92,90
47,Hackmon,http://digidb.io/images/dot/dot687.png,Rookie,Data,Fire,5,1,1030,59,118,108,63,85
48,Palmon,http://digidb.io/images/dot/dot348.png,Rookie,Data,Plant,5,1,1140,65,103,90,80,79
49,DemiDevimon,http://digidb.io/images/dot/dot097.png,Rookie,Virus,Dark,4,1,650,87,89,76,89,111
50,Biyomon,http://digidb.io/images/dot/dot307.png,Rookie,Vaccine,Wind,4,1,830,93,85,79,85,91
51,Falcomon,http://digidb.io/images/dot/dot705.png,Rookie,Vaccine,Wind,5,1,740,93,94,79,79,113
52,FanBeemon,http://digidb.io/images/dot/dot042.png,Rookie,Virus,Plant,4,1,860,69,104,86,73,98
53,Veemon,http://digidb.io/images/dot/dot114.png,Rookie,Free,Neutral,5,1,1040,74,130,74,53,101
54,Salamon,http://digidb.io/images/dot/dot361.png,Rookie,Vaccine,Light,4,1,540,118,59,69,119,97
55,Betamon,http://digidb.io/images/dot/dot389.png,Rookie,Virus,Water,4,1,870,101,61,76,113,78
56,Hawkmon,http://digidb.io/images/dot/dot706.png,Rookie,Free,Wind,5,1,690,88,99,79,83,114
57,Mushroomon,http://digidb.io/images/dot/dot607.png,Rookie,Virus,Plant,4,1,1110,64,96,88,79,78
58,Monodramon,http://digidb.io/images/dot/dot458.png,Rookie,Vaccine,Neutral,4,1,1040,54,128,100,51,79
59,Lalamon,http://digidb.io/images/dot/dot056.png,Rookie,Data,Plant,4,1,1100,74,87,87,79,79
60,Lucemon,http://digidb.io/images/dot/dot390.png,Rookie,Vaccine,Light,14,1,1230,148,59,104,208,119
61,Lunamon,http://digidb.io/images/dot/dot002.png,Rookie,Data,Water,5,1,890,94,89,76,101,82
62,Renamon,http://digidb.io/images/dot/dot391.png,Rookie,Data,Plant,5,1,930,93,89,74,89,93
