Provinsi,2015,2016
ACEH,29.82,28.16
SUMATERA UTARA,29.15,27.88
SUMATERA BARAT,32.41,30.59
RIAU,31.21,29.61
JAMBI,30.82,29.18
SUMATERA SELATAN,33.13,31.57
BENGKULU,33.68,33.15
LAMPUNG,34.12,33.39
KEP. BANGKA BELITUNG,30.70,29.32
KEP. RIAU,29.18,29.25
DKI JAKARTA,27.31,26.42
JAWA BARAT,33.82,32.67
JAWA TENGAH,28.57,27.19
DI YOGYAKARTA,24.12,23.11
JAWA TIMUR,29.03,28.16
BANTEN,32.95,31.64
BALI,22.96,21.62
NUSA TENGGARA BARAT,31.60,30.88
NUSA TENGGARA TIMUR,25.47,24.91
KALIMANTAN BARAT,29.35,28.09
KALIMANTAN TENGAH,30.53,29.21
KALIMANTAN SELATAN,25.76,25.34
KALIMANTAN TIMUR,25.59,25.23
KALIMANTAN UTARA,28.61,28.38
SULAWESI UTARA,29.31,29.23
SULAWESI TENGAH,32.56,31.88
SULAWESI SELATAN,25.49,25.13
SULAWESI TENGGARA,28.49,27.60
GORONTALO,33.93,31.71
SULAWESI BARAT,28.29,27.36
MALUKU,27.19,25.68
MALUKU UTARA,31.14,30.23
PAPUA BARAT,29.28,26.18
PAPUA,26.67,24.04
