THEME,TITLE,ARTIST,YEAR,SPOTIFY_URL
Love,The Look of Love,ABC,1982,http://open.spotify.com/track/78j3qTBdzcIiT3eS7XymoD
Love,The Shining,Badly Drawn Boy,2000,http://open.spotify.com/track/2PojSoZ94AIzp7fsz6wtMt
Love,God Only Knows,The Beach Boys,1966,http://open.spotify.com/track/0ObrXLrfrqJUNc8RfmIBHP
Love,Good Vibrations,The Beach Boys,1966,http://open.spotify.com/track/2oF7FZHIJbzjeEXZ3D0Ku4
Love,Wouldn’t It Be Nice,The Beach Boys,1966,http://open.spotify.com/track/0cx32rX0uZvcJUP92Wkj2y
Love,Eight Days a Week,The Beatles,1964,
Love,Girl,The Beatles,1965,
Love,I Want to Hold Your Hand,The Beatles,1963,
Love,She Loves You,The Beatles,1963,
Love,Something,The Beatles,1969,
Love,With a Little Help from My Friends,The Beatles,1967,
Love,Song for Whoever,The Beautiful South,1989,http://open.spotify.com/track/7k00fu054zyIgHEpkq5rBL
Love,How Deep is Your Love?,The Bee Gees,1977,http://open.spotify.com/track/1gIKd24bixkgYzuxse32oR
Love,Sweet Little Sixteen,Chuck Berry,1958,http://open.spotify.com/track/1fDfWFb1YmdRWu5JZ9yANo
Love,Crazy in Love,Beyoncé,2003,http://open.spotify.com/track/5IVuqXILoxVWvWEPm82Jxr
Love,Thirteen,Big Star,1972,
Love,I’ll Take Care of You,Bobby “Blue” Bland,1959,http://open.spotify.com/track/5vUitXO0fTxxS293NR51jA
Love,Heroes,David Bowie,1977,http://open.spotify.com/track/1qyRX6xXvsmbxR6FEnVSv2
Love,The Wedding Song,David Bowie,1993,http://open.spotify.com/track/0PUmT62MdJwmVf4sUjbHFW
Love,Sit Down I Think I Love You,Buffalo Springfield,1966,http://open.spotify.com/track/70dh9SQ7pcNLn7QE5dbIiX
Love,Everybody Needs Somebody to Love,Solomon Burke,1964,http://open.spotify.com/track/66GhKP6S6KqYMHR7xtGPoX
Love,Mehbooba Mehbooba,R D Burman,1975,
Love,Hounds of Love,Kate Bush,1985,
Love,The Man With the Child in His Eyes,Kate Bush,1978,http://open.spotify.com/track/4xjVfArXNQRxAvsUpjmfMt
Love,The Man I Love,Kate Bush,1994,
Love,Love Me Forever,Carlton and the Shoes,1968,
Love,The Dark End of the Street,James Carr,1967,
Love,I Walk the Line,Johnny Cash,1956,http://open.spotify.com/track/7wJepIHVDC88KzSyzNU1mA
Love,Deanna,Nick Cave and the Bad Seeds,1988,http://open.spotify.com/track/0XWoG02DaQES7ATCrbjx8D
Love,I Got a Woman,Ray Charles,1954,http://open.spotify.com/track/2xar08Fq5xra2KKZs5Bw9j
Love,Stoned Out of My Mind,The Chi-Lites,1973,http://open.spotify.com/track/3R35ltXFfFzAk5cCAKgZF8
Love,That’s How Long,The Chi-Lites,1974,
Love,Stay Free,The Clash,1978,
Love,Private Number,Judy Clay and William Bell,1968,http://open.spotify.com/track/5AdCyD1APnK7Drt81MDciC
Love,Yellow,Coldplay,2000,http://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
Love,Do You Love Me?,The Contours,1962,http://open.spotify.com/track/1nalk6Yqn0vRg8iiYlfeYd
Love,Cupid,Sam Cooke,1961,http://open.spotify.com/track/37ublgs2E1IIASg1it0v3t
Love,I’m in the Mood Again,Elvis Costello,2003,http://open.spotify.com/track/5HWC5PWLas7xQsjQPoeDpo
Love,Jack of All Parades,Elvis Costello and the Attractions,1986,
Love,Then He Kissed Me,The Crystals,1963,http://open.spotify.com/track/6OoJfmP08PBCLic4JBztsJ
Love,Friday I’m in Love,The Cure,1992,http://open.spotify.com/track/6TaVUwd1GxmOcR337FZM75
Love,Pour Some Sugar on Me,Def Leppard,1987,
Love,Born to Be With You,Dion,1975,
Love,A Teenager in Love,Dion & the Belmonts,1960,http://open.spotify.com/track/17iHLt9yQLLeBN3g1woXzB
Love,Blueberry Hill,Fats Domino,1956,http://open.spotify.com/track/25CTJ7xIrrWTHNtA7mq8Y6
Love,Girl from the North Country ,Bob Dylan,1963,http://open.spotify.com/track/4OfkpX0bONH3eSHQilGDnA
Love,Visions of Johanna,Bob Dylan,1966,http://open.spotify.com/track/0D0fyyNszdh2FZeUoiHJx1
Love,Wedding Song,Bob Dylan,1974,http://open.spotify.com/track/6O5MMLdfCMSohn7uvSLXqS
Love,One Day Like This,Elbow,2008,http://open.spotify.com/track/6PS9nzG6GUSPbD2A1xGWbm
Love,Let’s Stick Together,Bryan Ferry,1976,http://open.spotify.com/track/47KlEDyoBmF5ulJu6qmcHo
Love,Ev’ry Time We Say Goodbye,Ella Fitzgerald,1956,http://open.spotify.com/track/50KK7LxalUrWPtZxlhBJhn
Love,Killing Me Softly With His Song,Roberta Flack,1973,http://open.spotify.com/track/60SJRvzXJnVeVfS4RiH14u
Love,I Never Loved a Man (The Way I Love You),Aretha Franklin,1967,http://open.spotify.com/track/0FE39WU0AcIcXdkMK0fxkr
Love,I Say A Little Prayer,Aretha Franklin,1968,http://open.spotify.com/track/6bBwFPgVdWxuc4uWEyALCa
Love,The Power of Love,Frankie Goes to Hollywood,1984,http://open.spotify.com/track/2CUoxqW5bw2WOZPExmFvk1
Love,It’ll All Come Around,Patsy Gallant,1978,
Love,Zing! Went the Strings of My Heart,Judy Garland,1939,http://open.spotify.com/track/2vIuGZHuGRqcydnsVFC7Vp
Love,Ain’t No Mountain High Enough,Marvin Gaye And Tammi Terrell,1967,http://open.spotify.com/track/77g8V7P1MkfiPXe8Rkxm7y
Love,You’re All I Need to Get By,Marvin Gaye And Tammi Terrell,1968,http://open.spotify.com/track/6L7r59rN9s4mBSxZDiElTp
Love,The Dutchman,Steve Goodman,1973,http://open.spotify.com/track/7gSXNrDpUr5mMDThxS6Y6i
Love,Let’s Get Married,Al Green,1974,
Love,Let’s Stay Together,Al Green,1971,http://open.spotify.com/track/1r5ix6rRcET3TUdnDSZ9Oo
Love,Love and Happiness,Al Green,1972,
Love,Sweet Child O’ Mine,Guns N’ Roses,1987,http://open.spotify.com/track/5HzLcjDzlykkKC0rw2R6WJ
Love,I’m Into Something Good,Herman’s Hermits,1964,http://open.spotify.com/track/5tYLgBIbx3YVde84rRPNE9
Love,How Will I Know,Whitney Houston,1985,http://open.spotify.com/track/0xd9xioBzvbJ0KsqFUE1ob
Love,I’m So in Love,Leroy Hutson,1973,http://open.spotify.com/track/7yLQMOBHYEkFkFQcEoNEpR
Love,I’m So Proud,The Impressions,1964,http://open.spotify.com/track/6mLycrS3LfCUERnOWm8luW
Love,Night Nurse,Gregory Isaacs,1982,http://open.spotify.com/track/2lPfcRMRLffiBTwLA9S8Vc
Love,Summer Breeze,The Isley Brothers,1973,http://open.spotify.com/track/5tECQN3UPXULg4nzgkXM9r
Love,Are You Ready For Love,Elton John,1979,http://open.spotify.com/track/6TNHLD7QyX5KxdYmNwwDA6
Love,La Vie En Rose,Grace Jones,1977,http://open.spotify.com/track/50SLOKltoko04YawlAjDeH
Love,No One,Alicia Keys,2007,http://open.spotify.com/track/1exNQxJp0tHfKe85qUpRJF
Love,Stand By Me,Ben E King,1961,http://open.spotify.com/track/2FVHVmsUOyNnhlwtFLjoMF
Love,You Really Got Me,The Kinks,1964,http://open.spotify.com/track/0yjEOL4g41q4rAqoguFF0s
