

Kode,Tanggal,Open,Close,Change(Rp),Change(%),Volume
TLKM,2019-03-29,3890,3950,60,1.54,145011000,
TLKM,2019-03-28,3820,3890,70,1.83,85493000,
TLKM,2019-03-27,3820,3820,0,0.00,55705000,
TLKM,2019-03-26,3770,3820,50,1.33,31807900,
TLKM,2019-03-25,3820,3770,-50,-1.31,67399300,
TLKM,2019-03-22,3800,3820,20,0.53,47255300,
TLKM,2019-03-21,3780,3800,20,0.53,56829400,
TLKM,2019-03-20,3780,3780,0,0.00,64947700,
TLKM,2019-03-19,3830,3780,-50,-1.31,47453900,
TLKM,2019-03-18,3740,3830,90,2.41,60595400,
TLKM,2019-03-15,3730,3740,10,0.27,152543400,
TLKM,2019-03-14,3730,3730,0,0.00,89301700,
TLKM,2019-03-13,3800,3730,-70,-1.84,86683100,
TLKM,2019-03-12,3770,3800,30,0.80,61127700,
TLKM,2019-03-11,3740,3770,30,0.80,62251900,
TLKM,2019-03-08,3820,3740,-80,-2.09,105963500,
TLKM,2019-03-06,3870,3820,-50,-1.29,69927600,
TLKM,2019-03-05,3850,3870,20,0.52,41171000,
TLKM,2019-03-04,3910,3850,-60,-1.53,32250500,
TLKM,2019-03-01,3860,3910,50,1.30,49810100,
TLKM,2019-02-28,3910,3860,-50,-1.28,161156000,
TLKM,2019-02-27,3930,3910,-20,-0.51,48788200,
TLKM,2019-02-26,3910,3930,20,0.51,49657300,
TLKM,2019-02-25,3840,3910,70,1.82,53792400,
TLKM,2019-02-22,3870,3840,-30,-0.78,61392700,
TLKM,2019-02-21,3870,3870,0,0.00,48031100,
TLKM,2019-02-20,3920,3870,-50,-1.28,87933000,
TLKM,2019-02-19,3900,3920,20,0.51,82962700,
TLKM,2019-02-18,3790,3900,110,2.90,80275800,
TLKM,2019-02-15,3740,3790,50,1.34,67812600,
TLKM,2019-02-14,3790,3740,-50,-1.32,76939400,
TLKM,2019-02-13,3820,3790,-30,-0.79,113161100,
TLKM,2019-02-12,3930,3820,-110,-2.80,92427800,
TLKM,2019-02-11,3850,3930,80,2.08,88628900,
TLKM,2019-02-08,3860,3850,-10,-0.26,32131700,
TLKM,2019-02-07,3860,3860,0,0.00,39141500,
TLKM,2019-02-06,3780,3860,80,2.12,72180200,
TLKM,2019-02-04,3870,3780,-90,-2.33,70070500,
TLKM,2019-02-01,3900,3870,-30,-0.77,79588900,
TLKM,2019-01-31,3860,3900,40,1.04,110953700,
TLKM,2019-01-30,3840,3860,20,0.52,85903100,
TLKM,2019-01-29,3780,3840,60,1.59,118131200,
TLKM,2019-01-28,3880,3780,-100,-2.58,168983100,
TLKM,2019-01-25,3860,3880,20,0.52,75844000,
TLKM,2019-01-24,3920,3860,-60,-1.53,118836500,
TLKM,2019-01-23,4000,3920,-80,-2.00,72518500,
TLKM,2019-01-22,4030,4000,-30,-0.74,95420500,
TLKM,2019-01-21,4020,4030,10,0.25,83317600,
TLKM,2019-01-18,3990,4020,30,0.75,76350400,
TLKM,2019-01-17,3990,3990,0,0.00,78766100,
TLKM,2019-01-16,3930,3990,60,1.53,139056700,
TLKM,2019-01-15,3850,3930,80,2.08,83464900,
TLKM,2019-01-14,3860,3850,-10,-0.26,68487000,
TLKM,2019-01-11,3800,3860,60,1.58,116753700,
TLKM,2019-01-10,3730,3800,70,1.88,126396700,
TLKM,2019-01-09,3800,3730,-70,-1.84,98529400,
TLKM,2019-01-08,3770,3800,30,0.80,67963700,
TLKM,2019-01-07,3710,3770,60,1.62,83678100,
TLKM,2019-01-04,3740,3710,-30,-0.80,73936900,
TLKM,2019-01-03,3730,3740,10,0.27,83842400,
TLKM,2019-01-02,3750,3730,-20,-0.53,31355300,
